101,1,0,1,1
102,0,0,0,1
103,1,1,1,1
104,0,0,0,0
105,0,0,0,0
106,0,1,1,0
107,1,0,1,1
108,1,1,1,0
109,0,0,0,1
110,0,0,0,0
111,1,0,0,1
112,0,0,0,0
113,0,0,0,0
114,0,1,0,0
115,0,0,1,1
116,1,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,1,1,1,1
121,0,0,0,0
122,0,0,0,0
123,0,0,0,0
124,0,0,0,0
125,1,1,1,0
126,0,0,0,0
127,0,0,0,0
128,0,0,0,0
129,0,0,0,0
130,0,0,1,1
131,0,0,0,0
132,0,0,1,1
133,0,0,0,0
134,0,0,0,0
135,1,1,1,1
136,0,0,0,0
137,0,0,0,0
138,0,0,1,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,1,1,1
143,0,0,0,0
144,0,0,0,0
145,1,0,1,0
146,0,0,0,0
147,0,0,0,1
148,0,0,0,0
149,0,0,1,0
150,0,1,1,1
